sex,age,grade,label,entr_diagnost,entr_induccion,entr_regulariz,max_nivel_esp,family number,man,woman,x<30,pc,laptop,tv_plana,tablet,smartphone,InternetF,sIF_causa
1,13,3,1,1,2,2,7,4,2,2,1,1,1,1,1,1,1,0
2,19,9,1,1,2,2,0,4,2,2,1,1,1,1,1,1,1,0
2,8,3,1,1,2,2,7,7,3,4,1,2,2,1,2,1,1,0
1,26,0,0,0,0,0,0,7,3,4,1,2,2,1,2,1,1,0
1,27,9,1,1,9,9,0,5,3,2,1,1,1,1,1,1,1,0
2,24,0,0,0,0,0,0,4,2,2,1,1,1,1,2,1,1,0
1,4,0,0,1,2,1,8,5,3,2,1,2,1,1,1,1,1,0
1,11,3,1,1,2,1,8,5,3,2,1,2,1,1,1,1,1,0
2,19,9,1,1,2,1,0,5,3,2,1,2,1,1,1,1,1,0
1,21,9,1,1,1,1,0,4,2,2,1,2,1,2,2,1,1,0
2,13,4,1,1,2,1,7,4,2,2,1,2,1,2,2,1,1,0
2,21,0,0,2,2,2,0,5,1,4,1,2,1,1,2,1,1,0
2,19,9,1,2,2,2,0,5,1,4,1,2,1,1,2,1,1,0
1,8,3,1,2,2,2,7,7,4,3,1,2,1,1,1,1,1,0
1,14,4,1,2,2,2,7,7,4,3,1,2,1,1,1,1,1,0
2,14,4,1,2,2,2,7,7,4,3,1,2,1,1,1,1,1,0
2,9,3,1,1,2,2,7,4,1,3,1,1,1,1,1,1,1,0
2,5,2,1,1,2,2,7,4,1,3,1,1,1,1,1,1,1,0
1,16,7,1,2,2,2,8,3,2,1,1,1,1,1,1,1,1,0
1,26,9,1,0,0,0,0,5,2,3,1,2,1,2,2,1,1,0
2,26,9,1,0,0,0,0,5,2,3,1,2,1,2,2,1,1,0
2,0,0,0,0,0,0,0,5,2,3,1,2,1,2,2,1,1,0
1,1,0,0,0,0,0,0,5,3,2,1,2,2,1,2,1,2,2
2,15,4,1,2,2,2,7,5,2,3,1,2,1,1,2,1,1,0
1,15,4,1,1,2,2,2,5,2,3,1,2,1,1,2,1,1,0
2,13,4,1,1,2,2,7,5,2,3,1,2,1,1,2,1,1,0
1,12,3,1,2,2,2,7,6,3,3,1,2,2,1,2,1,2,1
2,2,0,0,0,0,0,0,6,3,3,1,2,2,1,2,1,2,1
1,10,3,1,2,2,2,7,6,3,3,1,2,2,1,2,1,2,1
2,17,6,1,1,1,1,7,6,3,3,1,2,2,1,2,1,2,1
2,3,0,0,1,1,2,8,4,2,2,1,1,1,1,1,1,1,0
1,7,3,1,1,1,1,8,4,2,2,1,1,1,1,1,1,1,0
2,22,9,1,1,1,2,0,6,3,3,1,2,2,1,2,1,1,0
1,25,0,0,0,0,0,0,6,3,3,1,2,2,1,2,1,1,0
1,21,9,1,1,1,2,0,6,3,3,1,2,2,1,2,1,1,0
2,15,4,1,2,2,2,7,6,3,3,1,2,2,1,2,1,1,0
2,2,0,0,0,0,0,0,4,2,2,1,2,2,1,1,1,1,0
1,1,0,0,0,0,0,0,4,2,2,1,2,2,1,1,1,1,0
1,15,4,1,1,1,2,7,3,2,1,1,1,1,1,1,1,1,0
2,29,0,0,0,0,0,0,1,0,1,1,2,1,2,2,1,1,0
2,21,9,1,2,2,2,0,2,0,2,1,2,1,1,2,1,1,0
2,17,6,1,1,2,1,7,4,1,3,1,2,2,1,2,1,2,7
1,20,0,0,0,0,0,0,4,1,3,1,2,2,1,2,1,2,7
1,28,0,0,0,0,0,0,3,2,1,1,2,1,1,2,1,1,0
1,21,0,0,0,0,0,0,3,2,1,1,2,1,1,2,1,1,0
2,22,0,0,1,2,2,0,4,2,2,1,2,1,1,2,1,1,0
1,5,2,1,1,2,1,7,3,2,1,1,2,2,1,1,1,1,0
2,9,3,1,1,2,2,7,3,1,2,1,2,2,2,2,1,2,1
1,9,3,1,1,2,1,7,3,2,1,1,2,1,1,2,2,1,0
1,28,0,0,0,0,0,0,2,1,1,1,2,2,1,2,1,2,9
2,28,0,0,0,0,0,0,5,2,3,1,1,1,1,2,1,1,0
1,23,9,1,2,9,9,0,5,2,3,1,1,1,1,2,1,1,0
2,24,0,0,0,0,0,0,5,2,3,1,1,1,1,2,1,1,0
1,18,6,1,2,2,2,0,5,4,1,1,1,1,1,1,1,1,0
